id,object_img
486,1043
813,1707
2980,1277
13,1050
2467,978
2526,1668
297,11
2981,1152
2055,2355
45,2739
1462,444
103,1894
1719,2712
180,2972
1300,2261
359,788
2936,1566
613,2234
2776,1076
352,1241
1273,842
1374,1675
1790,2481
279,3009
1979,3011
2550,2503
2770,3022
656,1032
2393,2953
2179,2241
1433,961
30,300
2940,916
2233,2924
2792,1383
1212,1275
1037,1041
1661,1228
2570,1247
1928,1176
1175,967
2405,2218
1290,908
2059,340
810,3022
2096,2191
786,1562
1058,1181
2724,975
247,2471
1231,2029
2890,975
2253,2172
487,2509
1627,3029
1526,2264
1980,3003
999,987
671,2983
2178,2532
1554,963
2113,901
678,2906
522,1441
1180,929
1033,861
292,537
2180,2748
457,634
790,2639
946,1237
531,947
1386,2584
865,2150
238,970
2862,1952
2591,362
2235,931
679,2482
1840,1001
2666,1435
1689,754
2984,2434
2044,834
728,3002
870,790
1303,752
908,800
1747,964
2424,491
1652,2625
267,2623
1785,1101
730,2613
694,2330
2650,958
425,1961
189,1119
1221,1430
1408,2507
70,377
1270,2458
211,2512
2680,971
2882,2529
284,2547
81,2178
1966,1891
1360,995
2296,2389
1211,2383
1812,926
2649,1141
1707,2558
2111,2271
2285,1225
2173,2501
1555,2699
289,2013
2888,1568
1613,934
913,2416
2032,839
421,2509
2502,2494
444,605
2951,1031
1957,2878
2580,1610
176,290
1564,1554
1090,1114
686,2221
234,1307
1019,131
2918,788
2967,1913
1126,846
204,2702
1989,2190
232,2891
846,2153
1557,1003
2440,937
1848,2642
1160,2183
930,901
2677,1041
848,2918
2995,1601
77,258
1396,1304
2019,1074
612,2999
1357,428
158,1020
1098,2929
1240,898
784,470
1718,2020
2562,102
2047,1119
2452,1201
1588,454
153,1879
818,922
441,1226
599,1130
2658,3030
1351,2559
1905,1504
1903,1462
1883,2985
315,1145
2722,1428
88,2963
2971,3018
446,454
2130,1061
1565,1257
768,2952
760,2721
1757,2674
2630,897
1498,506
2336,935
1089,2137
595,593
1048,2541
273,2082
622,1044
509,1561
1371,465
2718,1864
2822,1618
1024,2229
195,2554
1489,2979
1643,1474
171,2276
323,2912
1587,1119
142,71
512,1453
169,1190
1591,886
1570,1162
2406,742
2290,1182
2093,1065
1656,2261
1937,1137
2892,2434
2352,2195
2348,940
1101,1987
602,2356
1114,1093
1074,2563
1503,980
2190,2918
1534,973
109,761
1869,2240
60,2931
481,920
2893,775
465,2444
140,2707
2276,658
933,1204
1193,2992
2872,2510
2349,2407
1850,2235
1815,2249
573,2092
2065,1024
354,1110
2530,1009
696,2189
2669,1149
1962,2549
2422,1435
94,283
943,1062
135,1148
2417,782
2175,2186
2623,1971
1510,2221
766,954
239,891
1657,2932
2137,1024
463,2381
1615,135
880,1126
1740,1122
2534,1344
1035,2504
252,1807
2960,1067
2504,1217
912,470
1254,2658
1981,1868
795,2429
1463,978
197,1343
811,1004
1629,2677
566,2232
1792,260
53,1286
965,2122
652,1210
1375,2354
1972,2940
1150,1222
2921,2902
2205,2911
2304,2167
1836,1108
1209,2287
1229,1296
554,1368
2954,1298
820,899
1481,2124
2172,1131
2568,1145
411,1179
627,916
1692,1035
1353,246
2625,1644
2719,1163
1358,926
423,1196
2435,1971
2469,502
1103,2967
2454,861
2051,1722
808,1046
791,837
1418,1397
2031,2151
1621,2925
417,2564
1988,941
2907,1615
2639,1923
1602,2034
193,907
1546,2982
534,2420
290,2267
2842,2500
257,2305
743,1669
747,1276
2922,1282
222,2032
2705,2501
773,2694
600,2181
1205,2403
1753,2502
2470,1416
1111,2055
1676,809
2488,2455
50,879
1377,920
2403,917
1801,509
1609,2986
556,1347
2223,685
2702,1269
2757,1195
2556,1170
1963,2183
1062,2330
1576,108
2046,1067
2453,2403
765,844
2933,2211
1638,202
2956,908
480,1068
2929,2871
74,3000
333,178
52,854
248,769
2704,1310
2928,499
174,2324
2418,2510
150,2967
499,2152
1581,2307
2595,301
1560,2146
8,789
255,2271
472,1966
2723,2642
2667,970
1504,2987
416,741
2371,2006
2363,2218
2758,2362
2409,2290
1411,2690
2699,2574
2261,2182
1519,2692
839,1115
1054,2390
1733,941
240,3040
757,939
68,2105
366,1052
1544,2604
185,1374
2806,2954
843,2977
2212,1070
966,2162
2611,1154
857,2926
1799,508
2528,1009
228,2366
1136,940
332,2990
2592,551
2708,975
299,2164
97,592
341,772
1879,969
1045,77
651,1279
1091,2105
2772,1356
2226,2373
1826,1020
1619,2158
1413,1826
462,706
1584,2426
2814,1849
1414,2096
2886,864
803,2280
1094,1243
2711,1204
2315,1220
1567,1824
2437,1911
2942,2641
1715,887
1476,953
706,761
1214,2128
1473,2477
555,3008
200,2897
