id,object_img
486,927
813,1520
2980,1162
13,934
2467,888
2526,1600
297,31
2981,1043
2055,2235
45,2629
1462,111
103,1801
1719,2623
180,2865
1300,2136
359,693
2936,1471
613,1955
2776,977
352,1124
1273,698
1374,1599
1790,2373
279,2908
1979,2909
2550,2415
2770,2923
656,959
2393,2847
2179,2086
1433,836
30,152
2940,818
2233,2818
2792,1260
1212,1138
1037,927
1661,1113
2570,1116
1928,1081
1175,867
2405,2080
1290,787
2059,344
810,2911
2096,2056
786,1426
1058,979
2724,829
247,2365
1231,1791
2890,833
2253,2013
487,2408
1627,2930
1526,2148
1980,2899
999,909
671,2878
2178,2445
1554,1044
2113,797
678,2797
522,1332
1180,830
1033,675
292,716
2180,2638
457,555
790,2530
946,1146
531,850
1386,2326
865,1982
238,1034
2862,1808
2591,243
2235,835
679,2538
1840,909
2666,1323
1689,649
2984,2239
2044,723
728,2888
870,683
1303,661
908,686
1747,888
2424,370
1652,2512
267,2536
1785,1022
730,2517
694,2235
2650,796
425,1668
189,1009
1221,1361
1408,2421
70,277
1270,2265
211,2425
2680,874
2882,2625
284,2427
81,2055
1966,1809
1360,919
2296,2276
1211,2352
1812,830
2649,1024
1707,2454
2111,2117
2285,1028
2173,2396
1555,2763
289,1869
2888,1422
1613,1013
913,2218
2032,730
421,2423
2502,2236
444,656
2951,928
1957,2764
2580,1523
176,201
1564,1250
1090,1003
686,2099
234,1216
1019,57
2918,692
2967,1819
1126,750
204,2588
1989,2061
232,2769
846,2105
1557,906
2440,813
1848,2525
1160,2109
930,798
2677,923
848,2800
2995,1473
77,70
1396,1215
2019,908
612,2884
1357,309
158,1101
1098,2810
1240,779
784,332
1718,1956
2562,122
2047,837
2452,994
1588,332
153,1795
818,984
441,1121
599,1023
2658,2930
1351,2453
1905,1400
1903,1352
1883,2868
315,937
2722,1308
88,2849
2971,2919
446,335
2130,894
1565,1170
768,2846
760,2621
1757,2566
2630,809
1498,401
2336,832
1089,2050
595,525
1048,2450
273,1937
622,919
509,1383
1371,345
2718,1777
2822,1522
1024,2142
195,2468
1489,2868
1643,1332
171,2140
323,2792
1587,933
142,59
512,1444
169,1087
1591,769
1570,1048
2406,649
2290,1073
2093,965
1656,2109
1937,1116
2892,2237
2352,2122
2348,856
1101,1876
602,2143
1114,999
1074,2444
1503,885
2190,2809
1534,878
109,650
1869,2122
60,2812
481,824
2893,657
465,2311
140,2606
2276,590
933,1110
1193,2888
2872,2245
2349,2296
1850,2125
1815,2123
573,2080
2065,919
354,969
2530,932
696,2115
2669,1075
1962,2448
2422,1187
94,357
943,814
135,859
2417,693
2175,2051
2623,1873
1510,2106
766,855
239,813
1657,2825
2137,920
463,2269
1615,63
880,1006
1740,1001
2534,1241
1035,2416
252,1711
2960,953
2504,1107
912,353
1254,2707
1981,1679
795,2337
1463,1061
197,1252
811,844
1629,2566
566,2091
1792,73
53,1201
965,2038
652,1102
1375,2238
1972,2825
1150,1113
2921,2794
2205,2792
2304,2067
1836,990
1209,2151
1229,1101
554,2455
2954,1203
820,793
1481,2059
2172,1019
2568,959
411,1070
627,833
1692,1128
1353,42
2625,1469
2719,979
1358,850
423,1082
2435,1819
2469,380
1103,2853
2454,755
2051,1633
808,946
791,748
1418,1271
2031,2089
1621,2821
417,2432
1988,842
2907,1428
2639,1853
1602,1749
193,810
1546,2864
534,2214
290,2148
2842,2420
257,2153
743,1574
747,815
2922,1140
222,1883
2705,2414
773,2574
600,2053
1205,2373
1753,2416
2470,1297
1111,1911
1676,697
2488,2353
50,962
1377,826
2403,835
1801,387
1609,2879
556,1255
2223,572
2702,1145
2757,1011
2556,1063
1963,2044
1062,2181
1576,119
2046,831
2453,2373
765,749
2933,2095
1638,96
2956,961
480,969
2929,2747
74,2892
333,184
52,748
248,817
2704,1116
2928,390
174,2200
2418,2409
150,2847
499,2064
1581,2165
2595,379
1560,2070
8,671
255,2148
472,1831
2723,2525
2667,827
1504,2881
416,630
2371,1903
2363,2106
2758,2223
2409,2168
1411,2604
2699,2445
2261,2051
1519,2764
839,1039
1054,2296
1733,839
240,2785
757,816
68,2065
366,1062
1544,2705
185,1247
2806,2840
843,2874
2212,846
966,2148
2611,969
857,2821
1799,385
2528,851
228,2250
1136,843
332,2886
2592,434
2708,846
299,2127
97,451
341,655
1879,621
1045,96
651,1086
1091,1967
2772,1268
2226,2252
1826,925
1619,2121
1413,1659
462,588
1584,2401
2814,1757
1414,2003
2886,773
803,2215
1094,1134
2711,1106
2315,1113
1567,1732
2437,1740
2942,2536
1715,805
1476,843
706,661
1214,2065
1473,2453
555,2904
200,2777
1730,2152
565,1275
1873,1637
367,807
2448,2383
2114,1349
868,934
812,1629
2009,1025
1072,1086
2733,783
1738,574
950,891
1107,2002
1776,60
125,2252
1772,2404
2899,1391
1118,2454
618,427
403,2980
2331,2480
105,894
1092,1126
2635,506
394,120
2471,2832
2593,1029
2664,215
2516,821
1921,2901
1731,863
2644,2515
1289,1064
1763,947
1341,43
1232,1803
2310,1245
44,2836
264,125
1274,1681
101,2090
2248,886
167,797
2742,2070
545,1164
1115,2864
163,1808
2786,2659
1128,1016
1559,648
230,1286
1272,765
1831,2769
415,812
1612,2316
213,2778
2721,1062
1749,895
1545,783
439,863
2274,986
1230,841
483,642
57,803
1427,701
2672,921
2316,1512
1222,363
2982,1092
1018,2496
409,869
1174,1081
2150,2878
440,2497
2375,991
2413,2899
2587,945
71,2217
2988,1480
574,1997
1865,2060
219,2446
2536,889
2820,2265
2998,2296
2983,2308
2840,841
745,2368
2547,2131
569,1806
2617,2074
1000,452
2429,2869
1499,2231
1345,2351
544,1357
2688,621
322,2739
1076,2415
2846,810
2785,778
2132,2669
2168,2324
1135,992
2736,934
2990,1007
2857,895
2618,2446
2438,2177
979,465
621,811
1028,2084
1129,2293
1,1142
1939,970
1469,1697
2795,1171
1923,570
433,1192
2636,2902
1430,2718
2307,2732
543,639
597,2899
1407,912
46,2012
1447,274
1406,1542
1917,2268
2713,653
1578,1675
2006,909
437,919
2810,1035
2026,1716
1601,807
830,2147
1726,2294
496,1100
2357,2016
1592,1286
2578,1233
1104,852
2852,2174
1006,1147
2382,2005
2234,2039
875,874
890,1358
1597,1537
2419,783
175,828
1344,1316
681,829
749,686
882,282
1695,984
1511,851
1242,2892
2755,2661
2968,2753
1085,2295
2288,373
209,599
1296,844
1026,1088
2746,1992
1362,1807
523,796
2765,2101
788,769
1030,2672
2087,2818
382,992
253,914
1287,842
510,2373
1926,2286
991,966
1508,2899
959,898
643,2273
2133,1004
2305,1811
2162,2913
1742,2587
2324,962
1271,2635
434,1035
1512,806
1265,2522
1393,1977
33,888
598,1387
2458,1709
1477,2129
1964,694
58,774
2837,825
558,891
1538,1777
2563,954
663,2840
178,210
461,2264
1566,1002
1838,2431
2224,2456
2116,996
319,2900
89,1860
2955,1119
431,850
1780,837
614,2623
806,2088
260,965
121,1001
1645,2062
1443,1305
1765,1110
1818,944
2541,1038
1038,2116
179,2146
1468,1950
927,932
196,316
1663,1094
677,2210
548,698
2600,2563
316,2468
2094,871
1106,149
1422,890
1748,974
458,831
15,2262
970,2311
2717,2437
1743,2170
436,806
2064,1998
1436,349
941,770
412,972
280,2901
2824,2339
1079,1033
953,807
2021,838
1675,2076
860,2124
1951,2898
2565,301
2391,2204
2191,1297
2407,42
1147,849
2510,878
2125,1001
2420,2868
1337,2678
1704,2843
708,1069
262,389
2041,1034
904,637
424,356
1100,1792
2017,766
2341,1958
611,2415
1685,870
568,2807
2239,1986
701,991
2775,2268
1862,215
2067,287
1252,761
1261,2437
2476,984
2229,813
310,925
533,1783
2784,650
631,2426
2472,2862
2481,1584
1908,921
1727,102
2662,2852
164,2138
2045,1007
355,1598
963,1113
1095,2883
1449,2215
931,1016
145,2866
2358,1422
1890,1666
799,320
742,95
2359,1046
258,2355
31,1007
2707,1048
840,1423
348,933
1458,2047
1732,847
2834,827
1518,785
845,812
1671,613
655,848
2163,956
638,2848
1188,2907
650,1057
1392,298
1946,2218
2439,2429
1579,1138
325,2781
529,2060
2985,108
2780,1026
835,509
680,1739
1191,2615
1599,836
112,1356
368,2907
2080,2915
1399,779
692,444
603,2760
562,2875
227,818
1813,2151
2849,2123
1745,2064
507,2851
1196,2103
1741,1763
2247,375
2575,810
1162,543
928,811
1124,2411
2286,2414
1703,2552
1262,1736
756,2235
2267,2062
1814,1977
2322,2343
2376,711
519,384
606,2534
2273,2111
645,2387
2946,707
2112,1988
1984,2820
1781,1843
1810,2039
479,2062
2903,2730
2104,809
2642,269
64,1948
901,930
1042,1202
2651,1077
2523,2695
2896,1624
2209,647
2745,2057
1065,1097
2090,2624
408,1898
2381,2187
2355,688
184,2866
2416,1064
1056,862
110,391
898,2928
271,995
1412,1728
1011,2208
2500,2178
473,2798
212,70
136,2050
1771,2888
832,61
2314,816
508,1087
762,1913
283,2116
2876,1322
858,1526
1898,2201
451,1074
464,2422
388,1466
2414,2049
2255,1093
1912,1488
2283,2954
1069,811
1722,2129
2259,849
2120,915
1226,2423
2945,358
1437,1620
1641,1130
2586,1302
1495,2208
1622,267
841,2787
2866,2039
782,2161
344,929
2015,2076
2861,473
2908,1061
536,950
2751,1083
1895,2399
2165,133
1611,2537
1914,836
582,2815
2682,2080
528,924
2813,2281
863,1058
369,2422
1208,2068
719,1037
2508,2364
2638,1658
2716,1107
1779,591
737,1841
314,2507
2203,2838
1269,894
2715,795
1299,890
2860,722
2551,2058
2399,1049
1492,2060
2895,1395
