id,object_img
486,902
813,995
2980,1062
13,902
2467,1041
2526,1110
297,43
2981,942
2055,2546
45,2491
1462,-45
103,1097
1719,2777
180,2762
1300,2083
359,816
2936,1158
613,1621
2776,810
352,852
1273,153
1374,1350
1790,2293
279,2762
1979,2749
2550,2529
2770,2547
656,910
2393,2751
2179,1981
1433,1007
30,-21
2940,931
2233,2593
2792,970
1212,1013
1037,924
1661,1103
2570,1115
1928,992
1175,969
2405,2318
1290,952
2059,-138
810,2757
2096,1790
786,949
1058,1150
2724,1043
247,2194
1231,2219
2890,1155
2253,2003
487,2338
1627,2779
1526,2213
1980,2751
999,-72
671,2751
2178,2233
1554,965
2113,1939
678,2750
522,989
1180,941
1033,820
292,-6
2180,2501
457,697
790,2180
946,1063
531,951
1386,1461
865,2075
238,732
2862,1716
2591,1201
2235,841
679,2819
1840,780
2666,1058
1689,1729
2984,2476
2044,841
728,2749
870,768
1303,926
908,820
1747,1035
2424,145
1652,2500
267,2329
1785,869
730,2777
694,1994
2650,1063
425,1589
189,1054
1221,827
1408,2518
70,123
1270,2298
211,2529
2680,968
2882,2021
284,2333
81,2132
1966,1764
1360,1416
2296,2356
1211,1891
1812,947
2649,949
1707,2403
2111,2499
2285,944
2173,2349
1555,2479
289,1891
2888,1040
1613,1104
913,2552
2032,817
421,2518
2502,2463
444,57
2951,944
1957,2546
2580,822
176,437
1564,1268
1090,1395
686,2115
234,1137
1019,44
2918,819
2967,2290
1126,820
204,2239
1989,1964
232,2592
846,2015
1557,948
2440,1000
1848,2320
1160,2126
930,842
2677,902
848,2555
2995,968
77,-17
1396,1007
2019,1084
612,2758
1357,1323
158,1043
1098,2761
1240,872
784,120
1718,1696
2562,-24
2047,926
2452,1332
1588,163
153,1395
818,936
441,1068
599,1011
2658,2750
1351,2315
1905,985
1903,984
1883,2587
315,448
2722,1118
88,2758
2971,2548
446,-75
2130,1021
1565,1059
768,2751
760,2360
1757,2715
2630,972
1498,184
2336,990
1089,1900
595,-13
1048,2358
273,1778
622,1031
509,1102
1371,34
2718,1734
2822,967
1024,1865
195,2352
1489,2756
1643,993
171,2318
323,2587
1587,939
142,-18
512,1025
169,963
1591,803
1570,1086
2406,768
2290,1011
2093,1169
1656,2027
1937,995
2892,1957
2352,1842
2348,970
1101,1858
602,2289
1114,719
